,participant_id,experiment_nr,step_count,gt_step_time,us_step_time,gt_cycle_time,us_cycle_time,gt_cadence,us_cadence,gt_ambulation_time,us_ambulation_time,gt_velocity,us_velocity,gt_step_length,us_step_length,uuid_name,age
0,p34,0,6,565.0,564.0,1125.0,1120.0,106.2,106.38297872340424,3390.0,3384.0,114.6,124.48699763593382,64.77000000000001,72.20245862884161,p34,32.0
1,p34,1,8,655.0,655.0,1320.0,1330.0,91.9,91.5032679738562,4570.0,4590.0,91.8,91.77864923747278,59.99,62.40948148148149,p34,32.0
2,p34,2,8,485.0,488.0,975.0,978.3333333333334,123.5,122.80701754385964,3400.0,3420.0,125.1,123.1766081871345,60.900000000000006,60.3565380116959,p34,32.0
3,p34,3,8,655.0,652.0,1310.0,1291.6666666666667,92.3,91.90371991247264,4550.0,4570.0,92.4,92.18030634573304,60.73,59.91719912472648,p34,32.0
4,p43,0,9,585.0,587.0,1155.0,1187.142857142857,102.8,102.12765957446808,4670.0,4700.0,92.2,89.63063829787234,53.85,51.98577021276595,p43,28.0
5,p43,1,8,685.0,682.0,1370.0,1366.6666666666667,87.1,87.8661087866109,4820.0,4780.0,88.8,88.1305439330544,60.785,59.92876987447699,p43,28.0
6,p43,2,8,540.0,534.0,1070.0,1070.0,111.1,112.29946524064172,3780.0,3740.0,112.2,112.63743315508022,60.34,59.69783957219252,p43,28.0
7,p43,3,8,650.0,650.0,1300.0,1338.3333333333333,92.3,92.3076923076923,4550.0,4550.0,92.9,92.58549450549452,60.265,61.10642637362638,p43,28.0
8,p46,0,6,510.0,508.0,1015.0,1007.5,116.7,118.11023622047244,2570.0,2540.0,167.0,165.851968503937,86.235,82.9259842519685,p46,32.0
9,p46,1,8,625.0,628.0,1255.0,1258.3333333333333,95.9,95.45454545454548,4380.0,4400.0,95.5,95.74181818181818,59.815,59.35992727272727,p46,32.0
10,p46,2,8,505.0,490.0,1005.0,998.3333333333334,119.3,122.44897959183672,3520.0,3430.0,120.9,122.81749271137026,60.65,61.40874635568513,p46,32.0
11,p46,3,6,640.0,650.0,1290.0,1290.0,93.5,92.3076923076923,4490.0,4550.0,93.9,92.58549450549452,60.370000000000005,62.03228131868133,p46,32.0
12,p30,0,7,645.0,640.0,1280.0,1252.0,93.3,93.75,3860.0,3840.0,103.0,109.70416666666668,66.275,68.01658333333334,p30,30.0
13,p30,1,8,670.0,664.0,1335.0,1331.6666666666667,90.3,90.3225806451613,4650.0,4650.0,93.0,90.59440860215054,60.99,58.88636559139785,p30,30.0
14,p30,2,8,490.0,494.0,980.0,981.6666666666666,122.1,121.3872832369942,3440.0,3460.0,124.1,121.75260115606936,60.995,60.87630057803469,p30,30.0
15,p30,3,8,625.0,628.0,1245.0,1245.0,95.7,95.45454545454548,4390.0,4400.0,98.1,95.74181818181818,61.555,59.35992727272727,p30,30.0
16,p05,0,8,595.0,600.0,1180.0,1183.3333333333333,101.0,100.0,4160.0,4200.0,104.9,100.30095238095238,62.41,57.17154285714285,p05,30.0
17,p05,1,8,680.0,660.0,1330.0,1300.0,88.9,90.9090909090909,4740.0,4620.0,88.9,91.18268398268398,60.265,58.35691774891775,p05,30.0
18,p05,2,8,515.0,514.0,1020.0,1021.6666666666666,116.3,116.66666666666669,3610.0,3600.0,117.2,117.01777777777778,60.755,59.67906666666667,p05,30.0
19,p05,3,8,665.0,664.0,1315.0,1321.6666666666667,91.1,90.3225806451613,4610.0,4650.0,92.3,90.59440860215054,60.925,60.69825376344086,p05,30.0
20,p01,0,7,475.0,483.0,945.0,962.0,126.8,124.13793103448276,2840.0,2900.0,151.3,145.2634482758621,71.61500000000001,71.17908965517242,p01,53.0
21,p01,1,8,855.0,838.0,1700.0,1688.3333333333333,70.8,71.55025553662692,5930.0,5870.0,70.5,71.7655877342419,60.015,59.56543781942078,p01,53.0
22,p01,2,8,525.0,521.0,1050.0,1053.3333333333333,115.7,115.06849315068492,3630.0,3650.0,115.2,115.41479452054796,59.66,61.16984109589042,p01,53.0
23,p01,3,8,670.0,670.0,1340.0,1343.3333333333333,89.7,89.55223880597015,4680.0,4690.0,89.1,89.82174840085287,59.675,59.2823539445629,p01,53.0
24,p45,0,8,535.0,534.0,1060.0,1065.0,112.9,112.29946524064172,3720.0,3740.0,109.6,112.63743315508022,58.075,59.69783957219252,p45,38.0
25,p45,1,8,590.0,588.0,1175.0,1176.6666666666667,101.7,101.94174757281552,4130.0,4120.0,101.5,102.2485436893204,59.91,59.30415533980582,p45,38.0
26,p45,2,8,520.0,522.0,1040.0,1043.3333333333333,115.4,114.75409836065572,3640.0,3660.0,115.8,115.09945355191256,60.115,59.85171584699453,p45,38.0
27,p45,3,8,665.0,665.0,1330.0,1328.3333333333333,90.5,90.12875536480688,4640.0,4660.0,90.1,90.4,59.69,60.568000000000005,p45,38.0
28,p21,0,8,645.0,650.0,1290.0,1311.6666666666667,92.7,92.3076923076923,4530.0,4550.0,89.5,92.58549450549452,57.975,60.18057142857143,p21,25.0
29,p21,1,8,650.0,650.0,1305.0,1305.0,92.1,92.3076923076923,4560.0,4550.0,92.3,92.58549450549452,60.105,59.25471648351649,p21,25.0
30,p21,2,8,600.0,590.0,1200.0,1185.0,99.5,101.69491525423727,4220.0,4130.0,99.3,102.00096852300244,60.09,61.200581113801455,p21,25.0
31,p21,3,8,660.0,675.0,1320.0,1356.6666666666667,90.9,88.79492600422833,4620.0,4730.0,90.8,89.06215644820296,59.96,60.56226638477801,p21,25.0
32,p44,0,7,545.0,545.0,1085.0,1082.0,110.4,110.09174311926606,3260.0,3270.0,115.8,128.8269113149847,62.9,70.21066666666667,p44,31.0
33,p44,1,8,615.0,612.0,1230.0,1228.3333333333333,97.4,97.9020979020979,4310.0,4290.0,97.5,98.1967365967366,59.545,59.900009324009325,p44,31.0
34,p44,2,8,475.0,478.0,950.0,948.3333333333334,125.4,125.3731343283582,3350.0,3350.0,126.2,125.75044776119402,60.370000000000005,60.36021492537313,p44,31.0
35,p44,3,8,650.0,645.0,1295.0,1291.6666666666667,92.3,92.92035398230088,4550.0,4520.0,91.6,93.2,59.475,59.648,p44,31.0
36,p06,0,8,510.0,515.0,1030.0,1033.3333333333333,117.3,116.34349030470916,3580.0,3610.0,128.0,116.69362880886428,65.60499999999999,60.68068698060942,p06,24.0
37,p06,1,8,600.0,601.0,1190.0,1190.0,100.2,99.7624703087886,4190.0,4210.0,100.7,100.0627078384798,60.045,62.03887885985748,p06,24.0
38,p06,2,8,515.0,514.0,1035.0,1028.3333333333333,116.3,116.66666666666669,3610.0,3600.0,114.4,117.01777777777778,59.105,60.849244444444444,p06,24.0
39,p06,3,8,630.0,627.0,1250.0,1233.3333333333333,95.9,95.67198177676538,4380.0,4390.0,95.2,95.95990888382688,59.75,59.49514350797267,p06,24.0
40,p29,0,7,565.0,558.0,1120.0,1110.0,106.5,107.46268656716418,3380.0,3350.0,121.1,125.75044776119402,68.235,70.42025074626865,p29,59.0
41,p29,1,7,640.0,641.0,1275.0,1270.0,93.5,93.52037408149631,4490.0,4491.0,95.6,93.80182587397016,61.34,59.09515030060121,p29,59.0
42,p29,2,8,490.0,490.0,975.0,963.3333333333334,122.4,122.44897959183672,3430.0,3430.0,125.2,122.81749271137026,61.705,57.72422157434402,p29,59.0
43,p29,3,8,645.0,645.0,1295.0,1286.6666666666667,66.0,92.94320137693632,6360.0,5810.0,65.7,72.50671256454389,59.69,47.12936316695353,p29,59.0
44,p07,0,7,475.0,471.0,940.0,944.0,127.3,127.20848056537102,3300.0,2830.0,128.9,148.8565371024735,60.815,69.21828975265018,p07,71.0
45,p07,1,8,620.0,621.0,1245.0,1251.6666666666667,97.0,96.55172413793105,4330.0,4350.0,98.8,96.8422988505747,61.22,61.97907126436781,p07,71.0
46,p07,2,8,470.0,475.0,940.0,958.3333333333334,127.7,126.12612612612614,3290.0,3330.0,127.8,126.50570570570572,60.365,59.45768168168168,p07,71.0
47,p07,3,8,670.0,675.0,1345.0,1343.3333333333333,89.0,88.79492600422833,4720.0,4730.0,89.3,89.06215644820296,60.105,61.45288794926003,p07,71.0
48,p32,0,9,555.0,553.0,1105.0,1102.857142857143,108.4,108.35214446952595,4430.0,4430.0,98.4,95.09345372460496,54.47,52.77686681715576,p32,57.0
49,p32,1,8,1095.0,1095.0,2165.0,2168.333333333333,54.8,54.758800521512384,7660.0,7670.0,54.6,54.92359843546284,59.38,60.96519426336376,p32,57.0
50,p32,2,8,510.0,507.0,1000.0,1010.0,117.3,118.30985915492955,3580.0,3550.0,117.4,118.66591549295774,60.01,61.70627605633803,p32,57.0
51,p32,3,8,620.0,632.0,1240.0,1275.0,96.6,94.8081264108352,4350.0,4430.0,96.6,95.09345372460496,60.120000000000005,58.95794130925509,p32,57.0
52,p02,0,8,540.0,542.0,1080.0,1085.0,110.2,110.52631578947368,3810.0,3800.0,113.9,110.85894736842104,62.215,59.86383157894737,p02,32.0
53,p02,1,8,640.0,640.0,1300.0,1285.0,92.9,93.75,4520.0,4480.0,93.0,94.03214285714284,59.84,58.299928571428566,p02,32.0
54,p02,2,8,470.0,474.0,935.0,955.0,127.3,126.50602409638554,3300.0,3320.0,126.9,126.8867469879518,60.195,60.90563855421686,p02,32.0
55,p02,3,8,630.0,631.0,1260.0,1260.0,95.0,95.02262443438912,4420.0,4420.0,95.0,95.30859728506788,60.14,58.1382443438914,p02,32.0
56,p20,0,8,515.0,510.0,1025.0,1013.3333333333334,116.0,117.6470588235294,3620.0,3570.0,125.3,118.00112044817926,65.025,62.54059383753501,p20,25.0
57,p20,1,8,665.0,658.0,1320.0,1315.0,90.9,91.10629067245118,4620.0,4610.0,91.5,91.38047722342732,60.33,60.311114967462046,p20,25.0
58,p20,2,8,490.0,490.0,985.0,985.0,122.4,122.44897959183672,3430.0,3430.0,123.8,122.81749271137026,60.45,60.18057142857143,p20,25.0
59,p20,3,8,655.0,661.0,1300.0,1316.6666666666667,91.9,90.71274298056156,4570.0,4630.0,93.1,90.98574514038876,60.61,59.1407343412527,p20,25.0
60,p31,0,8,580.0,582.0,1145.0,1171.6666666666667,103.2,102.94117647058825,4070.0,4080.0,108.9,103.25098039215686,63.71,58.85305882352941,p31,32.0
